"BehaviorSpace results (NetLogo 6.0.4)"
"MAGENTA_ABM_combined.nlogo"
"MAGENTA_experiment_onefarmer"
"07/12/2019 16:20:55:285 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-7","7","-7","7"
"[run number]","bounded-rationality?","bonus-agg","bounded-threshold","base-p","persistence","bonus-wat","water-bonus","dist","change-lim","no-agents","[step]","budget","r:get ""ay.sum""","r:get ""hi""","r:get ""wq"""
"86","false","0","uniform","0","profit","0.05","as ES model","1","8","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"87","false","0","uniform","0","profit","0.05","as ES model","1","8","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"88","false","0","uniform","0","profit","0.05","as ES model","1","8","1","100","-2.8421709430404007E-13","100.00522532015965","0","0"
"89","false","0","uniform","0","profit","0.05","as ES model","1","8","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"90","false","0","uniform","0","profit","0.05","as ES model","1","8","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"91","false","0","uniform","0","profit","0.05","as ES model","1","9","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"92","false","0","uniform","0","profit","0.05","as ES model","1","9","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"93","false","0","uniform","0","profit","0.05","as ES model","1","9","1","100","3.410605131648481E-13","100.00522532015965","0","0"
"94","false","0","uniform","0","profit","0.05","as ES model","1","9","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"95","false","0","uniform","0","profit","0.05","as ES model","1","9","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"96","false","0","uniform","0","profit","0.05","as ES model","1","10","1","100","0","100.00522532015965","0","0"
"97","false","0","uniform","0","profit","0.05","as ES model","1","10","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"98","false","0","uniform","0","profit","0.05","as ES model","1","10","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"99","false","0","uniform","0","profit","0.05","as ES model","1","10","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"100","false","0","uniform","0","profit","0.05","as ES model","1","10","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"101","false","0","uniform","0","profit","0.1","as ES model","1","1","1","100","0.6999999999997044","96.67408371833781","1.4","8.11"
"102","false","0","uniform","0","profit","0.1","as ES model","1","1","1","100","0.6999999999998749","96.67408371833781","1.4","8.11"
"103","false","0","uniform","0","profit","0.1","as ES model","1","1","1","100","0.6999999999999886","96.67408371833781","1.4","8.11"
"104","false","0","uniform","0","profit","0.1","as ES model","1","1","1","100","0.7000000000000455","96.67408371833781","1.4","8.11"
"105","false","0","uniform","0","profit","0.1","as ES model","1","1","1","100","0.7000000000003297","96.67408371833781","1.4","8.11"
"106","false","0","uniform","0","profit","0.1","as ES model","1","2","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"107","false","0","uniform","0","profit","0.1","as ES model","1","2","1","100","5.684341886080801E-13","100.00522532015965","0","0"
"108","false","0","uniform","0","profit","0.1","as ES model","1","2","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"109","false","0","uniform","0","profit","0.1","as ES model","1","2","1","100","-3.410605131648481E-13","100.00522532015965","0","0"
"110","false","0","uniform","0","profit","0.1","as ES model","1","2","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"111","false","0","uniform","0","profit","0.1","as ES model","1","3","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"112","false","0","uniform","0","profit","0.1","as ES model","1","3","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"113","false","0","uniform","0","profit","0.1","as ES model","1","3","1","100","0","100.00522532015965","0","0"
"114","false","0","uniform","0","profit","0.1","as ES model","1","3","1","100","1.7053025658242404E-13","100.00522532015965","0","0"
"115","false","0","uniform","0","profit","0.1","as ES model","1","3","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"116","false","0","uniform","0","profit","0.1","as ES model","1","4","1","100","2.8421709430404007E-13","100.00522532015965","0","0"
"117","false","0","uniform","0","profit","0.1","as ES model","1","4","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"118","false","0","uniform","0","profit","0.1","as ES model","1","4","1","100","-3.979039320256561E-13","100.00522532015965","0","0"
"119","false","0","uniform","0","profit","0.1","as ES model","1","4","1","100","-2.8421709430404007E-13","100.00522532015965","0","0"
"120","false","0","uniform","0","profit","0.1","as ES model","1","4","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"121","false","0","uniform","0","profit","0.1","as ES model","1","5","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"122","false","0","uniform","0","profit","0.1","as ES model","1","5","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"123","false","0","uniform","0","profit","0.1","as ES model","1","5","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"124","false","0","uniform","0","profit","0.1","as ES model","1","5","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"125","false","0","uniform","0","profit","0.1","as ES model","1","5","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"126","false","0","uniform","0","profit","0.1","as ES model","1","6","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"127","false","0","uniform","0","profit","0.1","as ES model","1","6","1","100","0","100.00522532015965","0","0"
"128","false","0","uniform","0","profit","0.1","as ES model","1","6","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"129","false","0","uniform","0","profit","0.1","as ES model","1","6","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
